Epoch,Training Time (s),Loss,GPU0 Util (%),GPU0 Memory (GB),GPU0 Avg Power (W),GPU1 Util (%),GPU1 Memory (GB),GPU1 Avg Power (W),GPU2 Util (%),GPU2 Memory (GB),GPU2 Avg Power (W),GPU3 Util (%),GPU3 Memory (GB),GPU3 Avg Power (W),GPU4 Util (%),GPU4 Memory (GB),GPU4 Avg Power (W),GPU5 Util (%),GPU5 Memory (GB),GPU5 Avg Power (W),GPU6 Util (%),GPU6 Memory (GB),GPU6 Avg Power (W),GPU7 Util (%),GPU7 Memory (GB),GPU7 Avg Power (W)
1,27.49539566040039,2.2494890689849854,41.0,0.4248046875,40.58000183105469,41.0,0.4248046875,50.75,54.869564056396484,9.9287109375,105.78043365478516,48.4782600402832,9.9287109375,117.96695709228516,62.869564056396484,9.960724830627441,110.4156494140625,58.0,10.013374328613281,116.43956756591797,58.434783935546875,9.9349946975708,109.51478576660156,10.0,0.4248046875,118.55999755859375
2,17.97753667831421,2.2073848247528076,23.0,13.4716796875,59.66999816894531,80.4000015258789,13.4716796875,164.2606658935547,84.93333435058594,13.4716796875,153.45399475097656,100.0,13.4716796875,112.9000015258789,100.0,13.4716796875,64.97000122070312,72.0,13.4716796875,72.12000274658203,90.5999984741211,13.4716796875,152.74732971191406,86.4000015258789,13.4716796875,158.70733642578125
3,18.177439212799072,2.1755716800689697,80.4000015258789,13.4716796875,144.06466674804688,97.0,13.4716796875,60.130001068115234,86.53333282470703,13.4716796875,148.64199829101562,80.53333282470703,13.4716796875,134.3246612548828,15.0,13.4716796875,78.5999984741211,77.86666870117188,13.4716796875,152.79933166503906,86.13333129882812,13.4716796875,140.52467346191406,85.19999694824219,13.4716796875,136.88333129882812
4,18.04443383216858,2.1521310806274414,100.0,13.4716796875,93.80999755859375,0.0,13.4716796875,68.25,100.0,13.4716796875,100.41999816894531,92.4000015258789,13.4716796875,168.81199645996094,0.0,13.4716796875,112.9000015258789,100.0,13.4716796875,57.7599983215332,89.53333282470703,13.4716796875,176.73533630371094,88.13333129882812,13.4716796875,183.22532653808594
5,18.220409631729126,2.1346094608306885,1.0,13.4716796875,66.41000366210938,78.66666412353516,13.4716796875,180.48599243164062,0.0,13.4716796875,62.97999954223633,100.0,13.4716796875,120.66000366210938,83.53333282470703,13.4716796875,185.5260009765625,0.0,13.4716796875,65.37999725341797,90.46666717529297,13.4716796875,179.68133544921875,100.0,13.4716796875,66.97000122070312
6,18.187930583953857,2.111959934234619,84.66666412353516,13.4716796875,153.8993377685547,100.0,13.4716796875,68.93000030517578,0.0,13.4716796875,67.0999984741211,82.86666870117188,13.4716796875,186.70599365234375,93.06666564941406,13.4716796875,190.0626678466797,86.26667022705078,13.4716796875,176.01333618164062,100.0,13.4716796875,145.25999450683594,20.0,13.4716796875,192.47000122070312
7,18.033443450927734,2.094686985015869,66.0,13.4716796875,62.31999969482422,0.0,13.4716796875,66.02999877929688,0.0,13.4716796875,63.599998474121094,92.4000015258789,13.4716796875,179.5760040283203,92.66666412353516,13.4716796875,157.447998046875,91.46666717529297,13.4716796875,168.60867309570312,11.0,13.4716796875,64.37000274658203,86.4000015258789,13.4716796875,165.84866333007812
8,17.44832420349121,2.052809238433838,83.28571319580078,13.4716796875,182.8892822265625,12.0,13.4716796875,74.55999755859375,43.0,13.4716796875,88.16000366210938,57.0,13.4716796875,69.11000061035156,0.0,13.4716796875,69.55999755859375,0.0,13.4716796875,58.540000915527344,82.42857360839844,13.4716796875,169.3428497314453,0.0,13.4716796875,78.5
9,18.125462293624878,2.0304932594299316,90.46666717529297,13.4716796875,139.22666931152344,0.0,13.4716796875,69.45999908447266,31.0,13.4716796875,67.29000091552734,0.0,13.4716796875,69.83000183105469,27.0,13.4716796875,71.69999694824219,85.53333282470703,13.4716796875,158.20399475097656,89.26667022705078,13.4716796875,173.24465942382812,0.0,13.4716796875,75.62999725341797
10,18.766157865524292,2.011068820953369,100.0,13.4716796875,70.77999877929688,77.80000305175781,13.4716796875,173.2066650390625,37.0,13.4716796875,73.91000366210938,82.6875,13.4716796875,150.28125,78.66666412353516,13.4716796875,172.67933654785156,100.0,13.4716796875,55.9900016784668,97.0,13.4716796875,60.099998474121094,0.0,13.4716796875,65.30999755859375
11,18.439124822616577,1.9907362461090088,77.0,13.4716796875,69.29000091552734,71.0,13.4716796875,73.16000366210938,90.0,13.4716796875,68.19000244140625,4.0,13.4716796875,78.48999786376953,100.0,13.4716796875,123.11000061035156,82.26667022705078,13.4716796875,173.7606658935547,100.0,13.4716796875,100.69000244140625,84.46666717529297,13.4716796875,182.70733642578125
12,17.936098098754883,1.973134994506836,82.19999694824219,13.4716796875,176.61199951171875,0.0,13.4716796875,70.8499984741211,0.0,13.4716796875,79.55999755859375,0.0,13.4716796875,75.4000015258789,100.0,13.4716796875,71.26000213623047,94.86666870117188,13.4716796875,171.97933959960938,100.0,13.4716796875,66.76000213623047,85.73332977294922,13.4716796875,184.7933349609375
13,17.787137269973755,1.963026523590088,79.0,13.4716796875,123.8499984741211,86.92857360839844,13.4716796875,181.42071533203125,83.64286041259766,13.4716796875,164.19570922851562,7.0,13.4716796875,68.30000305175781,0.0,13.4716796875,73.75,33.0,13.4716796875,65.47000122070312,80.19999694824219,13.4716796875,168.0500030517578,84.53333282470703,13.4716796875,180.3246612548828
14,17.6198091506958,1.9539897441864014,19.0,13.4716796875,66.01000213623047,83.33333587646484,13.4716796875,172.8626708984375,1.0,13.4716796875,86.75,23.0,13.4716796875,74.0999984741211,0.0,13.4716796875,68.68000030517578,0.0,13.4716796875,68.87000274658203,24.0,13.4716796875,71.9800033569336,86.4000015258789,13.4716796875,149.1093292236328
15,17.84404969215393,1.9361228942871094,85.4000015258789,13.4716796875,157.28466796875,87.66666412353516,13.4716796875,174.27732849121094,0.0,13.4716796875,163.67999267578125,85.80000305175781,13.4716796875,166.7813262939453,90.13333129882812,13.4716796875,180.15333557128906,15.0,13.4716796875,58.38999938964844,0.0,13.4716796875,64.43000030517578,87.66666412353516,13.4716796875,157.77467346191406
16,18.33797311782837,1.9195332527160645,86.53333282470703,13.4716796875,145.77732849121094,86.53333282470703,13.4716796875,159.61532592773438,86.33333587646484,13.4716796875,134.9046630859375,0.0,13.4716796875,68.94000244140625,100.0,13.4716796875,138.66000366210938,85.86666870117188,13.4716796875,146.63800048828125,0.0,13.4716796875,81.73999786376953,0.0,13.4716796875,143.49000549316406
17,17.586253881454468,1.897099494934082,78.0,13.4716796875,66.04000091552734,100.0,13.4716796875,65.94000244140625,89.13333129882812,13.4716796875,158.16799926757812,0.0,13.4716796875,71.30999755859375,83.93333435058594,13.4716796875,153.30999755859375,91.93333435058594,13.4716796875,157.3453369140625,87.53333282470703,13.4716796875,161.1959991455078,0.0,13.4716796875,72.88999938964844
18,17.970958709716797,1.8835046291351318,12.0,13.4716796875,76.3499984741211,0.0,13.4716796875,76.52999877929688,6.0,13.4716796875,68.37999725341797,80.4000015258789,13.4716796875,176.6493377685547,80.26667022705078,13.4716796875,166.24266052246094,0.0,13.4716796875,80.19000244140625,15.0,13.4716796875,131.57000732421875,83.26667022705078,13.4716796875,170.95333862304688
19,17.611459732055664,1.8721638917922974,0.0,13.4716796875,62.970001220703125,1.0,13.4716796875,70.30000305175781,82.53333282470703,13.4716796875,164.01133728027344,80.0,13.4716796875,70.5999984741211,100.0,13.4716796875,65.37999725341797,0.0,13.4716796875,56.93000030517578,39.0,13.4716796875,63.040000915527344,100.0,13.4716796875,101.7300033569336
20,17.86700677871704,1.8671467304229736,82.0,13.4716796875,161.79066467285156,91.86666870117188,13.4716796875,165.3353271484375,8.0,13.4716796875,134.02999877929688,17.0,13.4716796875,109.18000030517578,79.26667022705078,13.4716796875,143.77932739257812,77.93333435058594,13.4716796875,179.9426727294922,0.0,13.4716796875,134.1699981689453,0.0,13.4716796875,167.4199981689453
21,18.138359785079956,1.8621845245361328,90.0,13.4716796875,64.38999938964844,55.0,13.4716796875,64.44999694824219,17.0,13.4716796875,100.1500015258789,82.26667022705078,13.4716796875,159.3333282470703,97.0,13.4716796875,164.55999755859375,87.66666412353516,13.4716796875,158.5453338623047,85.80000305175781,13.4716796875,161.586669921875,0.0,13.4716796875,95.04000091552734
22,17.747774839401245,1.8476760387420654,81.85713958740234,13.4716796875,186.8392791748047,0.0,13.4716796875,105.63999938964844,29.0,13.4716796875,79.93000030517578,86.80000305175781,13.4716796875,191.00466918945312,36.0,13.4716796875,62.29999923706055,100.0,13.4716796875,64.30000305175781,100.0,13.4716796875,67.88999938964844,0.0,13.4716796875,67.69000244140625
23,17.61478614807129,1.8388452529907227,100.0,13.4716796875,60.59000015258789,77.0,13.4716796875,70.26000213623047,34.0,13.4716796875,66.83999633789062,34.0,13.4716796875,76.93000030517578,83.0,13.4716796875,158.40199279785156,82.86666870117188,13.4716796875,160.38800048828125,80.06666564941406,13.4716796875,151.30999755859375,82.35713958740234,13.4716796875,189.76499938964844
24,17.936644077301025,1.8321869373321533,71.0,13.4716796875,77.5199966430664,84.73332977294922,13.4716796875,186.14199829101562,84.80000305175781,13.4716796875,186.55599975585938,83.66666412353516,13.4716796875,194.9546661376953,74.13333129882812,13.4716796875,178.9846649169922,0.0,13.4716796875,64.05999755859375,82.33333587646484,13.4716796875,166.76600646972656,100.0,13.4716796875,66.88999938964844
25,18.148012399673462,1.8285853862762451,8.0,13.4716796875,61.27000045776367,88.4000015258789,13.4716796875,175.78199768066406,79.13333129882812,13.4716796875,179.71400451660156,81.66666412353516,13.4716796875,179.4566650390625,79.46666717529297,13.4716796875,169.30467224121094,0.0,13.4716796875,55.56999969482422,100.0,13.4716796875,57.060001373291016,79.26667022705078,13.4716796875,175.7346649169922
26,18.26536774635315,1.8229000568389893,0.0,13.4716796875,63.7599983215332,91.19999694824219,13.4716796875,149.6366729736328,87.4000015258789,13.4716796875,148.25132751464844,78.0,13.4716796875,68.72000122070312,90.93333435058594,13.4716796875,156.6320037841797,82.46666717529297,13.4716796875,146.40133666992188,1.0,13.4716796875,127.83000183105469,100.0,13.4716796875,83.02999877929688
27,18.551599502563477,1.8148338794708252,23.0,13.4716796875,124.95999908447266,73.0,13.4716796875,165.07000732421875,28.0,13.4716796875,142.36000061035156,79.80000305175781,13.4716796875,178.8646697998047,87.26667022705078,13.4716796875,125.12866973876953,86.13333129882812,13.4716796875,125.88600158691406,0.0,13.4716796875,58.650001525878906,35.0,13.4716796875,71.04000091552734
28,17.572455406188965,1.8152072429656982,0.0,13.4716796875,62.65999984741211,0.0,13.4716796875,69.37999725341797,54.0,13.4716796875,67.18000030517578,91.42857360839844,13.4716796875,164.22500610351562,82.0,13.4716796875,79.83000183105469,97.0,13.4716796875,60.84000015258789,1.0,13.4716796875,109.86000061035156,10.0,13.4716796875,92.56999969482422
29,18.686938762664795,1.802044153213501,54.0,13.4716796875,66.6500015258789,86.125,13.4716796875,149.8818817138672,73.0,13.4716796875,114.94999694824219,90.4000015258789,13.4716796875,160.7066650390625,10.0,13.4716796875,61.900001525878906,78.9375,13.4716796875,135.41000366210938,0.0,13.4716796875,70.5,10.0,13.4716796875,139.72999572753906
30,17.829421520233154,1.7958731651306152,80.0,13.4716796875,62.75,36.0,13.4716796875,65.76000213623047,61.0,13.4716796875,59.31999969482422,100.0,13.4716796875,67.30999755859375,30.0,13.4716796875,62.02000045776367,0.0,13.4716796875,63.099998474121094,76.19999694824219,13.4716796875,176.00466918945312,78.19999694824219,13.4716796875,182.85733032226562
31,17.66527032852173,1.7994393110275269,81.71428680419922,13.4716796875,199.2978515625,82.07142639160156,13.4716796875,201.11000061035156,80.85713958740234,13.4716796875,196.0449981689453,0.0,13.4716796875,71.72000122070312,22.0,13.4716796875,71.25,11.0,13.4716796875,64.05000305175781,65.0,13.4716796875,62.290000915527344,75.0,13.4716796875,69.19999694824219
32,21.320266723632812,1.7863781452178955,37.0,13.4716796875,59.36000061035156,75.16666412353516,13.4716796875,162.7977752685547,78.77777862548828,13.4716796875,156.56832885742188,77.05555725097656,13.4716796875,153.5688934326172,33.0,13.4716796875,65.27999877929688,44.0,13.4716796875,61.2599983215332,75.38888549804688,13.4716796875,157.1072235107422,80.0,13.4716796875,71.94000244140625
