Epoch,Training Time (s),Loss,GPU0 Util (%),GPU0 Memory (GB),GPU0 Avg Power (W),GPU1 Util (%),GPU1 Memory (GB),GPU1 Avg Power (W),GPU2 Util (%),GPU2 Memory (GB),GPU2 Avg Power (W),GPU3 Util (%),GPU3 Memory (GB),GPU3 Avg Power (W)
1,79.81377363204956,2.2490016234164334,4.0,0.2314453125,41.09,0.0,3.6533203125,61.56,0.0,3.6513671875,55.29,0.0,3.6513671875,59.95
2,77.52225399017334,2.22231239931924,53.333333333333336,3.8154296875,89.87384615384616,29.692307692307693,3.6533203125,95.47358974358974,29.94871794871795,3.6513671875,97.5525641025641,29.307692307692307,3.6513671875,98.88076923076925
3,58.67648148536682,2.2311535927714132,0.0,3.8154296875,54.66,19.0,3.6533203125,61.88,0.0,3.6513671875,56.99,0.0,3.6513671875,61.96
4,58.9330632686615,2.2208146233947907,0.0,3.8154296875,43.14,0.0,3.6533203125,51.46,0.0,3.6513671875,44.9,0.0,3.6513671875,49.05
5,59.226958990097046,2.211162401705372,0.0,3.8154296875,43.1,19.0,3.6533203125,63.18,12.0,3.6513671875,57.35,0.0,3.6513671875,62.33
6,57.780954122543335,2.1998550940533073,0.0,3.8154296875,45.8,0.0,3.6533203125,63.75,19.0,3.6513671875,57.65,0.0,3.6513671875,62.31
7,78.29084777832031,2.200176015192149,54.275,3.8154296875,81.73825,23.6,3.6533203125,89.70275,29.675,3.6513671875,99.26525000000001,28.2,3.6513671875,90.25000000000001
8,60.09051513671875,2.2204074689320157,0.0,3.8154296875,59.3,5.0,3.6533203125,61.19,0.0,3.6513671875,57.18,0.0,3.6513671875,61.34
9,60.88135886192322,2.2059259536314983,0.0,3.8154296875,60.4,0.0,3.6533203125,62.03,0.0,3.6513671875,56.97,0.0,3.6513671875,61.98
10,56.63984990119934,2.216742061838812,0.0,3.8154296875,60.94,9.0,3.6533203125,61.69,0.0,3.6513671875,57.15,0.0,3.6513671875,61.3
11,59.86406230926514,2.212923520681809,0.0,3.8154296875,43.53,22.0,3.6533203125,61.97,0.0,3.6513671875,56.85,0.0,3.6513671875,61.81
12,74.56818008422852,2.2092475684321657,55.8421052631579,3.8154296875,82.78210526315787,26.86842105263158,3.6533203125,95.18684210526315,28.394736842105264,3.6513671875,89.87763157894737,27.263157894736842,3.6513671875,96.8336842105263
13,74.7295823097229,2.198801428687816,53.21052631578947,3.8154296875,89.27184210526316,33.6578947368421,3.6533203125,105.29499999999999,35.13157894736842,3.6513671875,80.45263157894738,25.92105263157895,3.6513671875,104.2878947368421
14,56.55188775062561,2.2316684844542523,0.0,3.8154296875,76.65,19.0,3.6533203125,63.24,0.0,3.6513671875,57.07,0.0,3.6513671875,61.97
15,78.50411915779114,2.2376039867498436,52.125,3.8154296875,87.69925,30.9,3.6533203125,92.84375,28.975,3.6513671875,86.654,28.675,3.6513671875,99.35174999999997
16,63.75713300704956,2.2835563895653705,0.0,3.8154296875,45.35,0.0,3.6533203125,62.7,0.0,3.6513671875,56.54,0.0,3.6513671875,61.48
17,63.28335380554199,2.292625318984596,0.0,3.8154296875,45.01,2.0,3.6533203125,61.97,0.0,3.6513671875,56.79,0.0,3.6513671875,61.56
18,73.05037999153137,2.2914667859369393,0.0,3.8154296875,44.94,19.0,3.6533203125,62.85,0.0,3.6513671875,56.46,0.0,3.6513671875,61.47
19,85.89601516723633,2.277840087608415,49.38636363636363,3.8154296875,82.32772727272727,25.25,3.6533203125,94.1272727272727,26.772727272727273,3.6513671875,83.3640909090909,23.863636363636363,3.6513671875,88.42727272727274
20,72.62590909004211,2.3035353105895373,0.0,3.8154296875,45.34,6.0,3.6533203125,61.47,0.0,3.6513671875,55.25,0.0,3.6513671875,60.28
21,126.12938332557678,2.300891090412529,37.12698412698413,3.8154296875,68.14460317460318,19.49206349206349,3.6533203125,76.41365079365082,16.984126984126984,3.6513671875,73.65523809523809,16.444444444444443,3.6513671875,73.51603174603173
22,105.38898873329163,2.3032321528512605,45.77358490566038,3.8154296875,71.15452830188678,21.0188679245283,3.6533203125,87.12264150943395,23.641509433962263,3.6513671875,74.51830188679247,19.264150943396228,3.6513671875,78.5564150943396
23,60.164589405059814,2.2783777713775635,0.0,3.8154296875,44.56,0.0,3.6533203125,63.26,0.0,3.6513671875,56.71,0.0,3.6513671875,61.45
24,60.175128698349,2.283152007326788,0.0,3.8154296875,44.86,21.0,3.6533203125,62.6,0.0,3.6513671875,55.96,0.0,3.6513671875,62.1
25,65.96898412704468,2.2901299109264297,0.0,3.8154296875,57.62,14.0,3.6533203125,63.4,0.0,3.6513671875,56.88,0.0,3.6513671875,61.06
