Epoch,Training Time (s),Loss,GPU0 Util (%),GPU0 Memory (GB),GPU0 Avg Power (W),GPU1 Util (%),GPU1 Memory (GB),GPU1 Avg Power (W),GPU2 Util (%),GPU2 Memory (GB),GPU2 Avg Power (W),GPU3 Util (%),GPU3 Memory (GB),GPU3 Avg Power (W)
1,251.87642860412598,2.2335124015808105,0.0,0.3388671875,44.22999954223633,46.030303955078125,12.962200164794922,90.76428985595703,34.5,12.97225570678711,85.84442138671875,36.08333206176758,13.00336742401123,87.4988021850586
2,116.24678826332092,2.1870169639587402,33.0,14.3056640625,59.68000030517578,57.0,14.3056640625,58.38999938964844,4.0,14.3056640625,56.16999816894531,45.0,14.3056640625,55.470001220703125
3,128.0444324016571,2.1920576095581055,47.0,14.3056640625,60.040000915527344,34.0,14.3056640625,59.209999084472656,66.12149810791016,14.3056640625,130.9216766357422,64.29244995117188,14.3056640625,125.24980926513672
4,175.4177668094635,2.16147518157959,58.156028747558594,14.3056640625,106.34304809570312,0.0,14.3056640625,57.220001220703125,48.0,14.3056640625,54.13999938964844,18.0,14.3056640625,53.31999969482422
5,162.49543404579163,2.1391162872314453,0.0,14.3056640625,62.040000915527344,0.0,14.3056640625,55.880001068115234,0.0,14.3056640625,66.3499984741211,29.0,14.3056640625,61.619998931884766
6,161.20322799682617,2.11991548538208,0.0,14.3056640625,59.470001220703125,62.03252029418945,14.3056640625,115.26203155517578,82.0,14.3056640625,66.80000305175781,62.74193572998047,14.3056640625,111.43177795410156
7,99.21638035774231,2.0986380577087402,87.20237731933594,14.3056640625,153.46571350097656,86.66666412353516,14.3056640625,159.57583618164062,75.45121765136719,14.3056640625,153.1652374267578,75.32926940917969,14.3056640625,153.40512084960938
8,123.77416157722473,2.083986282348633,78.5047607421875,14.3056640625,141.155517578125,45.0,14.3056640625,57.4900016784668,100.0,14.3056640625,54.95000076293945,64.42574310302734,14.3056640625,131.3768310546875
9,124.90587997436523,2.071249485015869,0.0,14.3056640625,59.75,52.0,14.3056640625,55.33000183105469,70.1456298828125,14.3056640625,134.33883666992188,0.0,14.3056640625,56.119998931884766
10,154.60116386413574,2.05751371383667,66.9296875,14.3056640625,119.40499877929688,50.0,14.3056640625,60.40999984741211,55.77519226074219,14.3056640625,119.4451904296875,56.2109375,14.3056640625,116.20632934570312
Average,149.77816638946533,2.1344481468200684,37.0792854309082,12.908984375,86.55792808532715,43.272948837280275,14.171317672729492,76.95321617126464,53.5993537902832,14.172323226928711,92.21253623962403,45.10836677551269,14.175434398651124,95.16986694335938
