Epoch,Training Time (s),Loss,GPU0 Util (%),GPU0 Memory (GB),GPU0 Avg Power (W),GPU1 Util (%),GPU1 Memory (GB),GPU1 Avg Power (W),GPU2 Util (%),GPU2 Memory (GB),GPU2 Avg Power (W),GPU3 Util (%),GPU3 Memory (GB),GPU3 Avg Power (W),GPU4 Util (%),GPU4 Memory (GB),GPU4 Avg Power (W),GPU5 Util (%),GPU5 Memory (GB),GPU5 Avg Power (W),GPU6 Util (%),GPU6 Memory (GB),GPU6 Avg Power (W),GPU7 Util (%),GPU7 Memory (GB),GPU7 Avg Power (W)
1,28.267026662826538,2.2618958950042725,2.0,0.1435546875,40.95000076293945,56.08333206176758,9.562336921691895,123.12833404541016,0.0,0.1435546875,41.47999954223633,2.0,0.1435546875,62.63999938964844,53.54166793823242,9.551676750183105,118.73416900634766,2.0,0.1435546875,77.9000015258789,0.0,0.1435546875,61.209999084472656,0.0,0.1513671875,65.20999908447266
2,19.359507083892822,2.18363094329834,74.9375,13.5126953125,153.5087432861328,0.0,13.5126953125,115.80000305175781,77.3125,13.5126953125,167.2918701171875,0.0,13.5126953125,101.3499984741211,88.5,13.5126953125,158.0850067138672,0.0,13.5126953125,62.970001220703125,56.0,13.5126953125,53.790000915527344,62.0,13.5048828125,73.76000213623047
3,18.735363960266113,2.1566786766052246,100.0,13.5126953125,152.80999755859375,4.0,13.5126953125,135.97000122070312,95.0,13.5126953125,60.939998626708984,78.80000305175781,13.5126953125,144.7519989013672,92.3125,13.5126953125,145.19749450683594,84.06666564941406,13.5126953125,139.343994140625,83.25,13.5126953125,141.0187530517578,0.0,13.5048828125,115.54000091552734
4,19.292132139205933,2.1336984634399414,84.0625,13.5126953125,148.08999633789062,42.0,13.5126953125,64.63999938964844,33.0,13.5126953125,62.22999954223633,82.0625,13.5126953125,153.6281280517578,0.0,13.5126953125,79.63999938964844,100.0,13.5126953125,61.02000045776367,0.0,13.5126953125,77.97000122070312,90.375,13.5048828125,162.1199951171875
5,20.398077726364136,2.1188788414001465,74.23529052734375,13.5126953125,153.2076416015625,0.0,13.5126953125,71.52999877929688,72.4117660522461,13.5126953125,152.5811767578125,74.05882263183594,13.5126953125,162.64529418945312,0.0,13.5126953125,61.65999984741211,12.0,13.5126953125,61.900001525878906,30.0,13.5126953125,57.13999938964844,91.82353210449219,13.5048828125,162.18235778808594
6,22.16850185394287,2.094407081604004,79.0,13.5126953125,63.470001220703125,81.05555725097656,13.5126953125,153.49945068359375,25.0,13.5126953125,95.47000122070312,83.5,13.5126953125,157.4277801513672,0.0,13.5126953125,64.80999755859375,0.0,13.5126953125,60.0099983215332,0.0,13.5126953125,56.86000061035156,68.0,13.5048828125,66.47000122070312
7,18.757302284240723,2.0808587074279785,87.0,13.5126953125,145.63400268554688,88.0,13.5126953125,123.98999786376953,87.66666412353516,13.5126953125,140.8000030517578,100.0,13.5126953125,145.9499969482422,0.0,13.5126953125,97.16999816894531,0.0,13.5126953125,76.27999877929688,0.0,13.5126953125,62.27000045776367,0.0,13.5048828125,65.44000244140625
8,23.149826526641846,2.0542776584625244,96.0,13.5126953125,59.40999984741211,0.0,13.5126953125,72.19999694824219,72.36842346191406,13.5126953125,156.4442138671875,68.21052551269531,13.5126953125,148.60684204101562,0.0,13.5126953125,67.02999877929688,0.0,13.5126953125,84.30000305175781,0.0,13.5126953125,60.66999816894531,15.0,13.5048828125,71.80999755859375
9,20.169429063796997,2.0354700088500977,88.11764526367188,13.5126953125,146.08587646484375,100.0,13.5126953125,60.66999816894531,100.0,13.5126953125,57.689998626708984,87.52941131591797,13.5126953125,157.08941650390625,0.0,13.5126953125,65.12000274658203,0.0,13.5126953125,136.67999267578125,0.0,13.5126953125,56.2400016784668,0.0,13.5048828125,143.82000732421875
10,20.12031078338623,2.0395967960357666,77.1875,13.5126953125,139.4012451171875,42.0,13.5126953125,100.58999633789062,0.0,13.5126953125,63.75,83.375,13.5126953125,139.99749755859375,81.47058868408203,13.5126953125,142.57470703125,0.0,13.5126953125,149.74000549316406,0.0,13.5126953125,64.0,11.0,13.5048828125,141.27999877929688
11,19.956547737121582,2.029477596282959,59.0,13.5126953125,69.58000183105469,39.0,13.5126953125,89.9000015258789,53.0,13.5126953125,61.72999954223633,100.0,13.5126953125,163.49000549316406,0.0,13.5126953125,66.94999694824219,65.0,13.5126953125,61.790000915527344,50.0,13.5126953125,68.58000183105469,71.0,13.5048828125,87.44000244140625
12,18.617413997650146,2.007612943649292,0.0,13.5126953125,62.66999816894531,79.0,13.5126953125,140.98733520507812,0.0,13.5126953125,62.36000061035156,0.0,13.5126953125,68.58999633789062,90.73332977294922,13.5126953125,140.86399841308594,85.4000015258789,13.5126953125,151.07000732421875,21.0,13.5126953125,65.16000366210938,85.86666870117188,13.5048828125,154.2013397216797
13,17.755089282989502,1.9862780570983887,86.33333587646484,13.5126953125,169.6580047607422,100.0,13.5126953125,125.83000183105469,83.66666412353516,13.5126953125,179.052001953125,0.0,13.5126953125,74.25,100.0,13.5126953125,67.33000183105469,89.06666564941406,13.5126953125,169.09133911132812,0.0,13.5126953125,117.70999908447266,100.0,13.5048828125,82.08999633789062
14,18.59477186203003,1.9301173686981201,83.80000305175781,13.5126953125,152.80133056640625,26.0,13.5126953125,64.80999755859375,80.13333129882812,13.5126953125,156.2306671142578,83.86666870117188,13.5126953125,165.5313262939453,0.0,13.5126953125,66.41000366210938,86.06666564941406,13.5126953125,161.79800415039062,15.0,13.5126953125,113.05000305175781,76.06666564941406,13.5048828125,175.75534057617188
15,18.33860445022583,1.90047287940979,100.0,13.5126953125,103.26000213623047,0.0,13.5126953125,68.16999816894531,100.0,13.5126953125,94.87000274658203,100.0,13.5126953125,114.68000030517578,0.0,13.5126953125,61.29999923706055,96.0,13.5126953125,178.08999633789062,0.0,13.5126953125,56.27000045776367,100.0,13.5048828125,65.08000183105469
16,18.842231273651123,1.8914480209350586,5.0,13.5126953125,62.95000076293945,80.375,13.5126953125,154.44874572753906,77.5625,13.5126953125,159.7881317138672,5.0,13.5126953125,70.62000274658203,36.0,13.5126953125,61.810001373291016,86.25,13.5126953125,155.59375,0.0,13.5126953125,59.029998779296875,85.0,13.5048828125,162.45187377929688
17,19.436420679092407,1.8598780632019043,94.1875,13.5126953125,149.33811950683594,87.0,13.5126953125,162.14500427246094,4.0,13.5126953125,67.30999755859375,95.0,13.5126953125,80.87999725341797,40.0,13.5126953125,62.459999084472656,30.0,13.5126953125,79.08000183105469,80.0,13.5126953125,144.90374755859375,82.0625,13.5048828125,154.5762481689453
18,18.17704486846924,1.856015920639038,90.46666717529297,13.5126953125,158.44467163085938,91.0,13.5126953125,69.01000213623047,85.33333587646484,13.5126953125,153.3520050048828,0.0,13.5126953125,176.47000122070312,0.0,13.5126953125,65.31999969482422,84.06666564941406,13.5126953125,150.98533630371094,89.0,13.5126953125,152.80799865722656,91.33333587646484,13.5048828125,168.91799926757812
19,18.864769458770752,1.8361235857009888,87.0,13.5126953125,114.58000183105469,76.33333587646484,13.5126953125,159.62266540527344,83.5999984741211,13.5126953125,158.18666076660156,10.0,13.5126953125,114.19999694824219,4.0,13.5126953125,88.55000305175781,91.75,13.5126953125,152.1475067138672,100.0,13.5126953125,69.91999816894531,100.0,13.5048828125,144.83999633789062
20,18.352595329284668,1.8124067783355713,26.0,13.5126953125,68.19999694824219,95.5999984741211,13.5126953125,170.63133239746094,95.19999694824219,13.5126953125,161.50267028808594,25.0,13.5126953125,74.69000244140625,7.0,13.5126953125,75.05999755859375,89.80000305175781,13.5126953125,171.74465942382812,0.0,13.5126953125,80.83000183105469,0.0,13.5048828125,114.04000091552734
21,18.522932767868042,1.7960689067840576,8.0,13.5126953125,60.7599983215332,91.53333282470703,13.5126953125,160.07066345214844,71.0,13.5126953125,59.34000015258789,24.0,13.5126953125,67.7699966430664,22.0,13.5126953125,66.51000213623047,92.4000015258789,13.5126953125,161.4980010986328,8.0,13.5126953125,68.95999908447266,84.93333435058594,13.5048828125,173.11666870117188
22,20.413901329040527,1.785936713218689,75.94117736816406,13.5126953125,141.29940795898438,100.0,13.5126953125,61.439998626708984,1.0,13.5126953125,57.54999923706055,75.88235473632812,13.5126953125,141.20529174804688,87.82353210449219,13.5126953125,141.5441131591797,93.82353210449219,13.5126953125,148.1429443359375,55.0,13.5126953125,67.91000366210938,100.0,13.5048828125,69.80999755859375
23,19.616615533828735,1.7793325185775757,73.0,13.5126953125,58.209999084472656,80.75,13.5126953125,168.3093719482422,16.0,13.5126953125,57.619998931884766,100.0,13.5126953125,65.05000305175781,87.375,13.5126953125,151.9949951171875,100.0,13.5126953125,87.5,91.25,13.5126953125,153.96499633789062,1.0,13.5048828125,66.70999908447266
24,26.856197357177734,1.805004596710205,9.0,13.5126953125,62.02000045776367,91.0,13.5126953125,154.74000549316406,55.6363639831543,13.5126953125,123.85863494873047,20.0,13.5126953125,157.7100067138672,96.0,13.5126953125,60.0,93.0,13.5126953125,55.279998779296875,100.0,13.5126953125,55.720001220703125,76.3043441772461,13.5048828125,127.74913024902344
25,29.314924001693726,1.7926918268203735,3.0,13.5126953125,61.060001373291016,75.08000183105469,13.5126953125,128.84080505371094,100.0,13.5126953125,75.06999969482422,92.0,13.5126953125,64.9800033569336,55.625,13.5126953125,123.1187515258789,68.0,13.5126953125,55.58000183105469,58.52000045776367,13.5126953125,112.09519958496094,0.0,13.5048828125,65.13999938964844
26,27.383441925048828,1.7770004272460938,0.0,13.5126953125,61.849998474121094,83.90908813476562,13.5126953125,136.78318786621094,26.0,13.5126953125,66.30000305175781,79.59091186523438,13.5126953125,135.42181396484375,36.0,13.5126953125,58.84000015258789,41.0,13.5126953125,56.18000030517578,24.0,13.5126953125,55.83000183105469,57.0,13.5048828125,64.41000366210938
27,27.06986904144287,1.7662944793701172,0.0,13.5126953125,58.0099983215332,71.9565200805664,13.5126953125,122.95304107666016,71.56521606445312,13.5126953125,117.02782440185547,71.21739196777344,13.5126953125,124.96434783935547,63.043479919433594,13.5126953125,124.51652526855469,35.0,13.5126953125,55.08000183105469,10.0,13.5126953125,56.349998474121094,52.0,13.5048828125,63.90999984741211
28,27.42785120010376,1.7718150615692139,0.0,13.5126953125,60.08000183105469,2.0,13.5126953125,52.040000915527344,68.73912811279297,13.5126953125,136.626953125,7.0,13.5126953125,50.099998474121094,76.08695983886719,13.5126953125,123.89173889160156,77.21739196777344,13.5126953125,127.35869598388672,100.0,13.5126953125,55.56999969482422,78.21739196777344,13.5048828125,131.81130981445312
