Epoch,Training Time (s),Loss,GPU0 Util (%),GPU0 Memory (GB),GPU0 Avg Power (W),GPU1 Util (%),GPU1 Memory (GB),GPU1 Avg Power (W),GPU2 Util (%),GPU2 Memory (GB),GPU2 Avg Power (W),GPU3 Util (%),GPU3 Memory (GB),GPU3 Avg Power (W),GPU4 Util (%),GPU4 Memory (GB),GPU4 Avg Power (W),GPU5 Util (%),GPU5 Memory (GB),GPU5 Avg Power (W),GPU6 Util (%),GPU6 Memory (GB),GPU6 Avg Power (W),GPU7 Util (%),GPU7 Memory (GB),GPU7 Avg Power (W)
1,29.62924599647522,2.244170665740967,0.0,0.1435546875,59.29999923706055,0.0,0.1435546875,69.91000366210938,2.0,0.1435546875,64.18000030517578,0.0,0.1435546875,62.25,2.0,0.1435546875,60.400001525878906,0.0,0.1435546875,55.70000076293945,0.0,0.1435546875,55.66999816894531,0.0,0.1513671875,65.4800033569336
2,18.79096746444702,2.2060158252716064,82.06666564941406,13.4677734375,151.5626678466797,78.80000305175781,13.4677734375,166.4413299560547,85.5,13.4677734375,147.3331298828125,0.0,13.4677734375,107.29000091552734,84.8125,13.4677734375,135.18875122070312,11.0,13.4677734375,74.8499984741211,88.46666717529297,13.4677734375,137.1546630859375,44.0,13.4599609375,131.0
3,19.928499221801758,2.191199779510498,76.875,13.4677734375,138.20187377929688,83.0625,13.4677734375,154.41624450683594,33.0,13.4677734375,60.970001220703125,19.0,13.4677734375,64.25,1.0,13.4677734375,84.29000091552734,49.0,13.4677734375,57.650001525878906,100.0,13.4677734375,56.970001220703125,53.0,13.4599609375,65.77999877929688
4,19.326918363571167,2.1518654823303223,100.0,13.4677734375,62.779998779296875,100.0,13.4677734375,65.44999694824219,0.0,13.4677734375,145.19000244140625,79.6875,13.4677734375,160.90499877929688,88.1875,13.4677734375,148.05499267578125,81.1875,13.4677734375,146.73187255859375,0.0,13.4677734375,117.52999877929688,84.8125,13.4599609375,152.75125122070312
5,20.430940866470337,2.114743947982788,0.0,13.4677734375,57.650001525878906,0.0,13.4677734375,62.66999816894531,0.0,13.4677734375,58.380001068115234,87.11764526367188,13.4677734375,157.55352783203125,86.35294342041016,13.4677734375,146.22764587402344,85.64705657958984,13.4677734375,151.11412048339844,0.0,13.4677734375,139.89999389648438,87.64705657958984,13.4599609375,157.47000122070312
6,19.087255716323853,2.0859642028808594,79.0625,13.4677734375,132.73187255859375,80.3125,13.4677734375,152.75999450683594,0.0,13.4677734375,89.08000183105469,84.9375,13.4677734375,156.52874755859375,91.86666870117188,13.4677734375,153.46133422851562,64.0,13.4677734375,63.970001220703125,100.0,13.4677734375,67.68000030517578,100.0,13.4599609375,73.30999755859375
7,18.814127922058105,2.077975273132324,1.0,13.4677734375,97.5,96.26667022705078,13.4677734375,158.4586639404297,12.0,13.4677734375,60.529998779296875,92.0625,13.4677734375,149.17750549316406,100.0,13.4677734375,68.66000366210938,49.0,13.4677734375,96.62000274658203,86.25,13.4677734375,137.8056182861328,21.0,13.4599609375,85.56999969482422
8,18.509521484375,2.050424575805664,96.13333129882812,13.4677734375,159.83132934570312,91.4000015258789,13.4677734375,176.88400268554688,30.0,13.4677734375,78.77999877929688,14.0,13.4677734375,77.37000274658203,32.0,13.4677734375,63.33000183105469,69.0,13.4677734375,57.720001220703125,0.0,13.4677734375,125.69999694824219,19.0,13.4599609375,67.98999786376953
9,19.539538383483887,2.027404546737671,85.1875,13.4677734375,149.3837432861328,100.0,13.4677734375,71.30000305175781,87.0,13.4677734375,59.380001068115234,76.0,13.4677734375,105.20999908447266,0.0,13.4677734375,59.7400016784668,85.8125,13.4677734375,158.0331268310547,85.125,13.4677734375,150.91937255859375,82.125,13.4599609375,166.53750610351562
10,18.86476159095764,2.0077366828918457,36.0,13.4677734375,63.5099983215332,0.0,13.4677734375,61.72999954223633,85.1875,13.4677734375,161.36749267578125,86.9375,13.4677734375,144.12625122070312,78.0625,13.4677734375,143.3125,84.4375,13.4677734375,147.24188232421875,80.0,13.4677734375,105.01000213623047,90.1875,13.4599609375,146.3456268310547
11,18.348287343978882,1.990389347076416,73.0,13.4677734375,68.5,32.0,13.4677734375,65.41999816894531,88.0,13.4677734375,69.0199966430664,0.0,13.4677734375,70.58000183105469,5.0,13.4677734375,121.36000061035156,44.0,13.4677734375,90.2699966430664,80.06666564941406,13.4677734375,157.6453399658203,0.0,13.4599609375,98.81999969482422
12,18.567771434783936,1.9774696826934814,92.66666412353516,13.4677734375,149.51466369628906,84.0,13.4677734375,151.90866088867188,0.0,13.4677734375,59.97999954223633,91.26667022705078,13.4677734375,165.69667053222656,0.0,13.4677734375,65.4000015258789,0.0,13.4677734375,63.04999923706055,91.06666564941406,13.4677734375,163.19332885742188,85.46666717529297,13.4599609375,175.99400329589844
13,18.32918930053711,1.9511823654174805,91.33333587646484,13.4677734375,160.90866088867188,100.0,13.4677734375,64.88999938964844,0.0,13.4677734375,127.26000213623047,100.0,13.4677734375,105.31999969482422,83.26667022705078,13.4677734375,165.5586700439453,86.19999694824219,13.4677734375,151.72332763671875,100.0,13.4677734375,62.029998779296875,84.0,13.4599609375,69.58000183105469
14,19.92961049079895,1.896010160446167,87.8125,13.4677734375,161.35812377929688,87.5,13.4677734375,160.52687072753906,55.0,13.4677734375,62.40999984741211,87.3125,13.4677734375,166.234375,75.0,13.4677734375,67.77999877929688,90.125,13.4677734375,145.87562561035156,79.35294342041016,13.4677734375,153.09764099121094,0.0,13.4599609375,76.38999938964844
15,20.58044171333313,1.8515872955322266,73.76470947265625,13.4677734375,143.6441192626953,100.0,13.4677734375,65.06999969482422,79.05882263183594,13.4677734375,142.57882690429688,69.0,13.4677734375,66.86000061035156,49.0,13.4677734375,72.55000305175781,90.0,13.4677734375,65.97000122070312,0.0,13.4677734375,65.2699966430664,38.0,13.4599609375,67.3499984741211
16,19.58503556251526,1.8314614295959473,88.3125,13.4677734375,158.56875610351562,81.0,13.4677734375,68.5199966430664,100.0,13.4677734375,67.02999877929688,60.0,13.4677734375,69.69000244140625,80.6875,13.4677734375,149.39125061035156,84.25,13.4677734375,150.23875427246094,81.8125,13.4677734375,152.20687866210938,82.4375,13.4599609375,159.52374267578125
